,name,country_code,height,birth_date,birth_place,nickname
8338,MASULOVIC Nemanja,SRB,205,1995-10-05,Nis,
8339,NEDELJKOVIC Aleksandar,SRB,205,1997-10-27,Vranje,
8340,PERIC Pavle,SRB,207,1998-08-07,Prokuplje,
8341,PODRASCANIN Marko,SRB,204,1987-08-29,Novi Sad,Potke
8342,TODOROVIC Vuk,SRB,190,1998-04-23,,
9554,FERNANDES P.X.CAVALCANTE Adriano,BRA,201,2002-02-06,Ituiutaba,
9558,SOUZA Alan,BRA,202,1994-03-21,Rio De Janeiro,
9562,REZENDE Bruno Mossa,BRA,190,1986-07-02,Rio De Janeiro,Bruninho
9565,FERREIRA SOUZA Darlan,BRA,192,2002-06-24,,
9568,RESENDE GUALBERTO Flavio,BRA,199,1993-04-22,Pimenta,
9569,GIL KRELING Fernando,BRA,186,1996-01-13,Caxias Do Sul,"Cachopa (Portuguese for beehive, because of his hair)"
9572,HONORATO Henrique Dantas Nobrega,BRA,190,1997-03-18,Campina Grande,
9573,SANTOS Isac,BRA,208,1990-12-13,Sao Goncalo,Newton
9575,BERGMANN Lukas Felipe,BRA,204,2004-03-25,Munich,
9576,SAATKAMP Lucas,BRA,209,1986-03-06,Colinas,Lucao
9583,SOUZA Ricardo Lucarelli,BRA,196,1992-02-14,Contagem,"Lucao, Luca"
9584,HOSS Thales,BRA,190,1989-04-26,Sao Leopoldo,
9587,LEAL HIDALGO Yoandy,BRA,202,1988-08-31,Havana,
10095,OTSUKA Tatsunori,JPN,194,2000-11-05,Hirakata,Tatsu
10771,PAJENK Alen,SLO,203,1986-04-23,Maribor,
10787,VINCIC Dejan,SLO,200,1986-09-15,Velenje,Vinko
10800,ROPRET Gregor,SLO,192,1989-03-01,Ljubljana,
10835,KOZAMERNIK Jan,SLO,204,1995-12-24,Ljubljana,
10837,KOVACIC Jani,SLO,186,1992-06-14,Sempeter Pri Gorici,
10844,CEBULJ Klemen,SLO,202,1992-02-21,Slovenj Gradec,Ceba
10873,MUJANOVIC Nik,SLO,206,2004-10-14,,Mujo
10880,MOZIC Rok,SLO,200,2002-01-17,Maribor,
10882,STALEKAR Saso,SLO,214,1996-05-03,Slovenj Gradec,
10889,URNAUT Tine,SLO,200,1988-09-03,Slovenj Gradec,
10892,STERN Toncek,SLO,200,1995-11-14,Maribor,
10896,PLANINSIC Uros,SLO,186,1998-05-09,Maribor,
10902,STERN Ziga,SLO,193,1994-01-02,Maribor,
