,name,country_code,height,birth_date,birth_place,nickname
5530,KOJIMA Manami,JPN,158,1994-11-07,Sendai,
5531,FUKUDOME Satomi,JPN,162,1997-11-23,Kyoto,Sutton
5532,MORIYA Akane,JPN,165,1991-01-08,Suzaka,
5533,YAMADA Nichika,JPN,184,2000-02-24,Toyota,Hana (Flower)
5534,ISHIKAWA Mayu,JPN,174,2000-05-14,Okazaki,
5535,HAYASHI Kotona,JPN,173,1999-11-13,Kyoto,Rin
5536,NISHIDA Sarina,JPN,180,1996-05-21,Fukuoka,
5840,ORRO Alessia,ITA,178,1998-07-18,Oristano,
5841,CAMBI Carlotta,ITA,178,1996-05-28,San Miniato,
5842,EGONU Paola Ogechi,ITA,193,1998-12-18,Cittadella,
5843,ANTROPOVA Ekaterina,ITA,202,2003-03-19,Akureyri,
5844,SYLLA Myriam Fatime,ITA,184,1995-01-08,Palermo,Miri
5845,BOSETTI Caterina Chiara,ITA,179,1994-02-02,Tradate,Cate
5846,OMORUYI Oghosasere Loveth,ITA,184,2002-08-25,Lodi,
5847,DANESI Anna,ITA,195,1996-04-20,Brescia,
5848,FAHR Sarah Luisa,ITA,192,2001-09-12,Kulmbach,
5849,LUBIAN Marina,ITA,193,2000-04-11,Moncalieri,
5850,de GENNARO Monica,ITA,174,1987-01-08,Piano Di Sorrento,Moky
5851,SPIRITO Ilaria,ITA,174,1994-02-20,Albisola Superiore,
6485,ALAGIERSKA Klaudia,POL,190,1996-01-02,Milan?wek,Lala
6486,CZYRNIANSKA Martyna,POL,191,2003-10-13,Krynica-zdr?j,Czyrna
6487,JURCZYK Magdalena,POL,183,1995-10-28,Cergowa,
6488,KORNELUK Agnieszka,POL,200,1994-10-17,Poznan,
6489,LUKASIK Martyna,POL,189,1999-11-26,Gdansk,
6490,MEDRZYK Natalia,POL,183,1992-01-13,Lebork,Mama
6491,ROZANSKI Olivia,POL,185,1997-06-05,Albi,
6492,SMARZEK Malwina,POL,191,1996-06-03,Laska,
6493,STENZEL Maria,POL,168,1998-11-25,Koscian,Mery
6494,STYSIAK Magdalena,POL,203,2000-12-03,Turow,Megi
6495,SZCZYGLOWSKA Aleksandra,POL,172,1998-03-22,Elblag,Ola
6496,WENERSKA Katarzyna,POL,180,1993-03-09,Swiecie,Kasia
6497,WOLOSZ Joanna,POL,181,1990-04-07,Elblag,
7541,OLUOCH Veronica Adhiambo,KEN,180,1999-06-05,Ugenya,
8345,ALEKSIC Maja,SRB,188,1997-06-06,Uzice,
